Country,Year,Value
Northern Africa,2005,23023.00
Northern Africa,2010,23598.00
Northern Africa,2015,25786.00
Northern Africa,2020,30768.00
Sub-Saharan Africa,2005,113380.00
Sub-Saharan Africa,2010,135894.00
Sub-Saharan Africa,2015,156599.00
Sub-Saharan Africa,2020,178061.00
Northern America,2005,26759.00
Northern America,2010,26855.00
Northern America,2015,27094.00
Northern America,2020,26897.00
Latin America & the Caribbean,2005,69078.00
Latin America & the Caribbean,2010,67230.00
Latin America & the Caribbean,2015,64612.00
Latin America & the Caribbean,2020,62399.00
Central Asia,2005,4902.00
Central Asia,2010,4335.00
Central Asia,2015,4947.00
Central Asia,2020,6063.00
Eastern Asia,2005,126248.00
Eastern Asia,2010,113462.00
Eastern Asia,2015,107609.00
Eastern Asia,2020,117686.00
South-eastern Asia,2005,68253.00
South-eastern Asia,2010,68327.00
South-eastern Asia,2015,68713.00
South-eastern Asia,2020,68193.00
Southern Asia,2005,181481.00
Southern Asia,2010,191840.00
Southern Asia,2015,196155.00
Southern Asia,2020,184129.00
Western Asia,2005,24173.00
Western Asia,2010,25404.00
Western Asia,2015,25733.00
Western Asia,2020,26678.00
Europe,2005,38467.00
Europe,2010,36752.00
Europe,2015,38365.00
Europe,2020,39541.00
Oceania,2005,3142.00
Oceania,2010,3556.00
Oceania,2015,4101.00
Oceania,2020,4455.00
Australia and New Zealand,2005,2288.00
Australia and New Zealand,2010,2364.00
Australia and New Zealand,2015,2509.00
Australia and New Zealand,2020,2656.00
Afghanistan,2005,4319.00
Afghanistan,2010,5279.00
Afghanistan,2015,6199.00
Afghanistan,2018,6545.00
Afghanistan,2019,6778.00
Albania,2005,238.00
Albania,2010,225.00
Albania,2015,188.00
Albania,2021,159.00
Algeria,2005,4362.00
Algeria,2010,3312.00
Algeria,2011,3363.00
Algeria,2015,3925.00
Algeria,2022,5051.00
Andorra,2005,4.00
Andorra,2010,4.00
Andorra,2015,4.00
Andorra,2021,4.00
Angola,2010,4273.00
Angola,2011,5027.00
Angola,2015,5621.00
Angola,2016,5259.00
Angola,2018,4697.00
Anguilla,2005,1.00
Anguilla,2010,2.00
Anguilla,2011,2.00
Anguilla,2015,2.00
Anguilla,2019,2.00
Antigua and Barbuda,2010,11.00
Antigua and Barbuda,2015,10.00
Antigua and Barbuda,2018,10.00
Antigua and Barbuda,2019,10.00
Argentina,2005,4873.00
Argentina,2010,4947.00
Argentina,2015,4784.00
Argentina,2020,4804.00
Armenia,2005,125.00
Armenia,2010,102.00
Armenia,2015,145.00
Armenia,2021,156.00
Aruba,2005,10.00
Aruba,2010,10.00
Aruba,2012,9.00
Aruba,2015,10.00
Aruba,2016,9.00
Australia,2005,1935.00
Australia,2010,2015.00
Australia,2015,2141.00
Australia,2020,2269.00
Austria,2005,363.00
Austria,2010,328.00
Austria,2015,328.00
Austria,2020,344.00
Azerbaijan,2005,568.00
Azerbaijan,2010,482.00
Azerbaijan,2015,551.00
Azerbaijan,2021,646.00
Bahamas,2005,37.00
Bahamas,2006,36.00
Bahamas,2010,34.00
Bahamas,2013,32.00
Bahamas,2015,33.00
Bahamas,2019,30.00
Bahrain,2005,83.00
Bahrain,2006,90.00
Bahrain,2015,108.00
Bahrain,2019,116.00
Bangladesh,2005,16219.00
Bangladesh,2010,16987.00
Bangladesh,2011,16965.00
Bangladesh,2021,16965.00
Barbados,2005,22.00
Barbados,2010,23.00
Barbados,2015,21.00
Barbados,2021,19.00
Belarus,2005,380.00
Belarus,2010,358.00
Belarus,2015,387.00
Belarus,2021,445.00
Belgium,2005,739.00
Belgium,2010,732.00
Belgium,2015,783.00
Belgium,2020,824.00
Belize,2005,50.00
Belize,2010,53.00
Belize,2015,52.00
Belize,2021,47.00
Belize,2022,45.00
Benin,2005,1318.00
Benin,2010,1788.00
Benin,2015,2238.00
Benin,2021,2280.00
Bermuda,2005,5.00
Bermuda,2006,5.00
Bermuda,2010,4.00
Bermuda,2015,4.00
Bermuda,2020,4.00
Bhutan,2005,99.00
Bhutan,2010,110.00
Bhutan,2015,99.00
Bhutan,2018,92.00
Bhutan,2021,80.00
Bolivia (Plurin. State of),2005,1513.00
Bolivia (Plurin. State of),2010,1444.00
Bolivia (Plurin. State of),2015,1345.00
Bolivia (Plurin. State of),2021,1394.00
Bosnia and Herzegovina,2010,175.00
Bosnia and Herzegovina,2015,163.00
Bosnia and Herzegovina,2021,148.00
Botswana,2005,329.00
Botswana,2008,327.00
Botswana,2009,331.00
Botswana,2010,331.00
Botswana,2015,345.00
Botswana,2021,365.00
Brazil,2005,18661.00
Brazil,2009,17452.00
Brazil,2010,16893.00
Brazil,2015,16299.00
Brazil,2020,15367.00
British Virgin Islands,2005,3.00
British Virgin Islands,2010,3.00
British Virgin Islands,2015,3.00
British Virgin Islands,2018,3.00
British Virgin Islands,2021,3.00
Brunei Darussalam,2005,46.00
Brunei Darussalam,2010,44.00
Brunei Darussalam,2015,40.00
Brunei Darussalam,2020,40.00
Bulgaria,2005,290.00
Bulgaria,2010,260.00
Bulgaria,2015,262.00
Bulgaria,2020,248.00
Burkina Faso,2005,1271.00
Burkina Faso,2010,2048.00
Burkina Faso,2015,2707.00
Burkina Faso,2021,3290.00
Burundi,2005,1037.00
Burundi,2010,1850.00
Burundi,2015,2072.00
Burundi,2020,2302.00
Cabo Verde,2005,83.00
Cabo Verde,2010,71.00
Cabo Verde,2015,66.00
Cabo Verde,2019,63.00
Cambodia,2005,2695.00
Cambodia,2008,2341.00
Cambodia,2010,2273.00
Cambodia,2015,2012.00
Cambodia,2021,2133.00
Cameroon,2005,2978.00
Cameroon,2010,3510.00
Cameroon,2015,4370.00
Cameroon,2021,4732.00
Canada,2005,2321.00
Canada,2010,2168.00
Canada,2015,2304.00
Canada,2020,2428.00
Cayman Islands,2005,3.00
Cayman Islands,2008,4.00
Cayman Islands,2013,4.00
Cayman Islands,2015,4.00
Cayman Islands,2018,4.00
Cayman Islands,2020,5.00
Cayman Islands,2021,5.00
Central African Republic,2005,412.00
Central African Republic,2009,608.00
Central African Republic,2010,637.00
Central African Republic,2012,662.00
Central African Republic,2017,1029.00
Chad,2005,1262.00
Chad,2010,1727.00
Chad,2015,2270.00
Chad,2021,2719.00
Chile,2005,1721.00
Chile,2010,1547.00
Chile,2015,1478.00
Chile,2020,1542.00
China,2010,101019.00
China,2015,95958.00
China,2021,107730.00
"China, Hong Kong SAR",2005,451.00
"China, Hong Kong SAR",2010,349.00
"China, Hong Kong SAR",2015,333.00
"China, Hong Kong SAR",2021,368.00
"China, Macao SAR",2005,37.00
"China, Macao SAR",2010,25.00
"China, Macao SAR",2015,24.00
"China, Macao SAR",2021,35.00
Colombia,2005,5298.00
Colombia,2010,5085.00
Colombia,2015,4479.00
Colombia,2021,4192.00
Comoros,2008,111.00
Comoros,2014,120.00
Comoros,2018,124.00
Congo,2005,597.00
Congo,2010,705.00
Congo,2012,734.00
Congo,2014,787.00
Congo,2015,842.00
Congo,2018,783.00
Cook Islands,2005,2.00
Cook Islands,2010,2.00
Cook Islands,2015,2.00
Cook Islands,2021,2.00
Costa Rica,2005,542.00
Costa Rica,2010,521.00
Costa Rica,2015,473.00
Costa Rica,2020,493.00
Costa Rica,2021,458.00
Côte dIvoire,2009,2383.00
Côte dIvoire,2015,3371.00
Côte dIvoire,2021,4103.00
Côte dIvoire,2022,4253.00
Croatia,2005,196.00
Croatia,2010,167.00
Croatia,2015,162.00
Croatia,2020,157.00
Cuba,2005,895.00
Cuba,2010,853.00
Cuba,2015,746.00
Cuba,2021,756.00
Curaçao,2010,19.00
Curaçao,2013,21.00
Curaçao,2015,18.00
Curaçao,2020,13.00
Curaçao,2021,16.00
Cyprus,2005,61.00
Cyprus,2010,55.00
Cyprus,2015,54.00
Cyprus,2020,59.00
Czechia,2005,503.00
Czechia,2010,463.00
Czechia,2015,535.00
Czechia,2020,572.00
Dem. People's Rep. Korea,2009,1547.00
Dem. People's Rep. Korea,2018,1508.00
Dem. Rep. of the Congo,2010,10572.00
Dem. Rep. of the Congo,2015,13763.00
Dem. Rep. of the Congo,2020,18789.00
Denmark,2005,414.00
Denmark,2010,403.00
Denmark,2015,469.00
Denmark,2020,452.00
Djibouti,2005,51.00
Djibouti,2009,56.00
Djibouti,2015,63.00
Djibouti,2022,72.00
Dominica,2005,9.00
Dominica,2010,8.00
Dominica,2015,8.00
Dominica,2021,6.00
Dominican Republic,2005,1290.00
Dominican Republic,2010,1318.00
Dominican Republic,2015,1307.00
Dominican Republic,2021,1117.00
Ecuador,2005,1998.00
Ecuador,2010,2114.00
