Country,Year,Value
Africa,2010,1055.23
Africa,2015,1201.11
Africa,2021,1393.68
Africa,2022,1426.74
Northern Africa,2010,207.11
Northern Africa,2015,228.36
Northern Africa,2021,255.74
Northern Africa,2022,259.97
Sub-Saharan Africa,2010,848.12
Sub-Saharan Africa,2015,972.75
Sub-Saharan Africa,2021,1137.94
Sub-Saharan Africa,2022,1166.77
Eastern Africa,2010,342.74
Eastern Africa,2015,393.35
Eastern Africa,2021,461.14
Eastern Africa,2022,473.00
Middle Africa,2010,133.61
Middle Africa,2015,157.40
Middle Africa,2021,190.27
Middle Africa,2022,196.08
Southern Africa,2010,59.10
Southern Africa,2015,63.72
Southern Africa,2021,67.98
Southern Africa,2022,68.60
Western Africa,2010,312.67
Western Africa,2015,358.28
Western Africa,2021,418.54
Western Africa,2022,429.08
Americas,2010,935.82
Americas,2015,983.54
Americas,2021,1031.38
Americas,2022,1037.14
Northern America,2010,345.27
Northern America,2015,360.46
Northern America,2021,375.28
Northern America,2022,376.87
Latin America & the Caribbean,2010,590.55
Latin America & the Caribbean,2015,623.08
Latin America & the Caribbean,2021,656.10
Latin America & the Caribbean,2022,660.27
Caribbean,2010,41.40
Caribbean,2015,42.75
Caribbean,2021,44.18
Caribbean,2022,44.39
Central America,2010,156.06
Central America,2015,167.19
Central America,2021,177.66
Central America,2022,179.06
South America,2010,393.08
South America,2015,413.13
South America,2021,434.25
South America,2022,436.82
Asia,2010,4221.17
Asia,2015,4459.44
Asia,2021,4694.58
Asia,2022,4722.63
Central Asia,2010,63.62
Central Asia,2015,68.99
Central Asia,2022,77.04
Eastern Asia,2010,1583.27
Eastern Asia,2015,1631.71
Eastern Asia,2021,1663.70
Eastern Asia,2022,1663.20
South-central Asia,2010,1799.54
South-central Asia,2015,1926.33
South-central Asia,2021,2065.35
South-central Asia,2022,2084.59
South-eastern Asia,2010,599.78
South-eastern Asia,2015,636.64
South-eastern Asia,2021,675.80
South-eastern Asia,2022,681.13
Southern Asia,2010,1735.92
Southern Asia,2015,1857.34
Southern Asia,2022,2007.55
Western Asia,2010,238.59
Western Asia,2015,264.76
Western Asia,2021,289.73
Western Asia,2022,293.72
Europe,2010,736.28
Europe,2015,742.11
Europe,2021,745.17
Europe,2022,743.56
Eastern Europe,2010,294.71
Eastern Europe,2015,294.19
Eastern Europe,2021,291.46
Eastern Europe,2022,289.63
Northern Europe,2010,99.65
Northern Europe,2015,102.98
Northern Europe,2021,106.20
Northern Europe,2022,106.55
Southern Europe,2010,153.89
Southern Europe,2015,153.19
Southern Europe,2021,152.13
Southern Europe,2022,151.76
Western Europe,2010,188.03
Western Europe,2015,191.74
Western Europe,2021,195.38
Western Europe,2022,195.62
Oceania,2010,37.10
Oceania,2015,40.40
Oceania,2021,44.49
Oceania,2022,45.04
Australia and New Zealand,2010,26.37
Australia and New Zealand,2015,28.41
Australia and New Zealand,2021,31.05
Australia and New Zealand,2022,31.36
Melanesia,2010,9.54
Melanesia,2015,10.77
Melanesia,2021,12.19
Melanesia,2022,12.41
Micronesia,2010,0.52
Micronesia,2015,0.52
Micronesia,2021,0.53
Micronesia,2022,0.54
Polynesia,2010,0.68
Polynesia,2015,0.70
Polynesia,2021,0.72
Polynesia,2022,0.72
Afghanistan,2010,28.19
Afghanistan,2015,33.75
Afghanistan,2021,40.10
Afghanistan,2022,41.13
Albania,2010,2.91
Albania,2015,2.88
Albania,2021,2.85
Albania,2022,2.84
Algeria,2010,35.86
Algeria,2015,39.54
Algeria,2021,44.18
Algeria,2022,44.90
American Samoa,2010,0.05
American Samoa,2015,0.05
American Samoa,2021,0.05
American Samoa,2022,0.04
Andorra,2010,0.07
Andorra,2015,0.07
Andorra,2021,0.08
Andorra,2022,0.08
Angola,2010,23.36
Angola,2015,28.13
Angola,2021,34.50
Angola,2022,35.59
Anguilla,2010,0.01
Anguilla,2015,0.01
Anguilla,2021,0.02
Anguilla,2022,0.02
Antigua and Barbuda,2010,0.09
Antigua and Barbuda,2015,0.09
Antigua and Barbuda,2021,0.09
Antigua and Barbuda,2022,0.09
Argentina,2010,41.10
Argentina,2015,43.26
Argentina,2021,45.28
Argentina,2022,45.51
Armenia,2010,2.95
Armenia,2015,2.88
Armenia,2021,2.79
Armenia,2022,2.78
Aruba,2010,0.10
Aruba,2015,0.10
Aruba,2021,0.11
Aruba,2022,0.11
Australia,2010,22.02
Australia,2015,23.82
Australia,2021,25.92
Australia,2022,26.18
Austria,2010,8.36
Austria,2015,8.64
Austria,2021,8.92
Austria,2022,8.94
Azerbaijan,2010,9.24
Azerbaijan,2015,9.86
Azerbaijan,2021,10.31
Azerbaijan,2022,10.36
Bahamas,2010,0.37
Bahamas,2015,0.39
Bahamas,2021,0.41
Bahamas,2022,0.41
Bahrain,2010,1.21
Bahrain,2015,1.36
Bahrain,2021,1.46
Bahrain,2022,1.47
Bangladesh,2010,148.39
Bangladesh,2015,157.83
Bangladesh,2021,169.36
Bangladesh,2022,171.19
Barbados,2010,0.27
Barbados,2015,0.28
Barbados,2021,0.28
Barbados,2022,0.28
Belarus,2010,9.73
Belarus,2015,9.70
Belarus,2021,9.58
Belarus,2022,9.54
Belgium,2010,10.88
Belgium,2015,11.25
Belgium,2021,11.61
Belgium,2022,11.66
Belize,2010,0.32
Belize,2015,0.36
Belize,2021,0.40
Belize,2022,0.41
Benin,2010,9.45
Benin,2015,10.93
Benin,2021,13.00
Benin,2022,13.35
Bermuda,2010,0.06
Bermuda,2015,0.06
Bermuda,2021,0.06
Bermuda,2022,0.06
Bhutan,2010,0.71
Bhutan,2015,0.74
Bhutan,2021,0.78
Bhutan,2022,0.78
Bolivia (Plurin. State of),2010,10.22
Bolivia (Plurin. State of),2015,11.09
Bolivia (Plurin. State of),2021,12.08
Bolivia (Plurin. State of),2022,12.22
"Bonaire, St. Eustatius & Saba",2010,0.02
"Bonaire, St. Eustatius & Saba",2015,0.02
"Bonaire, St. Eustatius & Saba",2022,0.03
Bosnia and Herzegovina,2010,3.81
Bosnia and Herzegovina,2015,3.52
Bosnia and Herzegovina,2021,3.27
Bosnia and Herzegovina,2022,3.23
Botswana,2010,2.09
Botswana,2015,2.31
Botswana,2021,2.59
Botswana,2022,2.63
Brazil,2010,196.35
Brazil,2015,205.19
Brazil,2021,214.33
Brazil,2022,215.31
British Virgin Islands,2010,0.03
British Virgin Islands,2015,0.03
British Virgin Islands,2021,0.03
British Virgin Islands,2022,0.03
Brunei Darussalam,2010,0.40
Brunei Darussalam,2015,0.42
Brunei Darussalam,2021,0.45
Brunei Darussalam,2022,0.45
Bulgaria,2010,7.59
Bulgaria,2015,7.31
Bulgaria,2021,6.89
Bulgaria,2022,6.78
Burkina Faso,2010,16.12
Burkina Faso,2015,18.72
Burkina Faso,2021,22.10
Burkina Faso,2022,22.67
Burundi,2010,9.13
Burundi,2015,10.73
Burundi,2021,12.55
Burundi,2022,12.89
Cabo Verde,2010,0.52
Cabo Verde,2015,0.55
Cabo Verde,2021,0.59
Cabo Verde,2022,0.59
Cambodia,2010,14.36
Cambodia,2015,15.42
Cambodia,2021,16.59
Cambodia,2022,16.77
Cameroon,2010,19.88
Cameroon,2015,23.01
Cameroon,2021,27.20
Cameroon,2022,27.91
Canada,2010,33.96
Canada,2015,35.73
Canada,2021,38.16
Canada,2022,38.45
Cayman Islands,2010,0.05
Cayman Islands,2015,0.06
Cayman Islands,2021,0.07
Cayman Islands,2022,0.07
Central African Republic,2010,4.66
Central African Republic,2015,4.82
Central African Republic,2021,5.46
Central African Republic,2022,5.58
Chad,2010,11.89
Chad,2015,14.14
Chad,2021,17.18
Chad,2022,17.72
Chile,2010,17.00
Chile,2015,17.87
Chile,2021,19.49
Chile,2022,19.60
China,2010,1348.19
China,2015,1393.72
China,2021,1425.89
China,2022,1425.89
"China, Hong Kong SAR",2010,7.13
"China, Hong Kong SAR",2015,7.40
"China, Hong Kong SAR",2021,7.49
"China, Hong Kong SAR",2022,7.49
"China, Macao SAR",2010,0.56
"China, Macao SAR",2015,0.62
"China, Macao SAR",2021,0.69
"China, Macao SAR",2022,0.70
Colombia,2010,44.82
Colombia,2015,47.12
Colombia,2021,51.52
Colombia,2022,51.87
Comoros,2010,0.66
Comoros,2015,0.73
Comoros,2021,0.82
Comoros,2022,0.84
Congo,2010,4.44
Congo,2015,5.06
Congo,2021,5.84
Congo,2022,5.97
Cook Islands,2010,0.02
Cook Islands,2015,0.02
Cook Islands,2021,0.02
Cook Islands,2022,0.02
Costa Rica,2010,4.62
Costa Rica,2015,4.90
Costa Rica,2021,5.15
Costa Rica,2022,5.18
Côte dIvoire,2010,21.12
Côte dIvoire,2015,23.60
Côte dIvoire,2021,27.48
Côte dIvoire,2022,28.16
Croatia,2010,4.37
Croatia,2015,4.25
Croatia,2021,4.06
Croatia,2022,4.03
Cuba,2010,11.29
Cuba,2015,11.34
Cuba,2021,11.26
Cuba,2022,11.21
Curaçao,2010,0.16
Curaçao,2015,0.17
Curaçao,2021,0.19
Curaçao,2022,0.19
Cyprus,2010,1.13
Cyprus,2015,1.19
Cyprus,2021,1.24
Cyprus,2022,1.25
Czechia,2010,10.46
Czechia,2015,10.52
Czechia,2021,10.51
Czechia,2022,10.49
Dem. People's Rep. Korea,2010,24.69
Dem. People's Rep. Korea,2015,25.26
Dem. People's Rep. Korea,2021,25.97
Dem. People's Rep. Korea,2022,26.07
Dem. Rep. of the Congo,2010,66.39
Dem. Rep. of the Congo,2015,78.66
Dem. Rep. of the Congo,2021,95.89
Dem. Rep. of the Congo,2022,99.01
Denmark,2010,5.55
Denmark,2015,5.68
Denmark,2021,5.85
Denmark,2022,5.88
Djibouti,2010,0.92
Djibouti,2015,1.01
Djibouti,2021,1.11
Djibouti,2022,1.12
Dominica,2010,0.07
Dominica,2015,0.07
Dominica,2021,0.07
Dominica,2022,0.07
Dominican Republic,2010,9.78
Dominican Republic,2015,10.41
Dominican Republic,2021,11.12
Dominican Republic,2022,11.23
Ecuador,2010,14.99
Ecuador,2015,16.20
Ecuador,2021,17.80
Ecuador,2022,18.00
Egypt,2010,87.25
Egypt,2015,97.72
Egypt,2021,109.26
Egypt,2022,110.99
El Salvador,2010,6.11
El Salvador,2015,6.23
El Salvador,2021,6.31
El Salvador,2022,6.34
Equatorial Guinea,2010,1.09
Equatorial Guinea,2015,1.35
Equatorial Guinea,2021,1.63
Equatorial Guinea,2022,1.67
Eritrea,2010,3.15
Eritrea,2015,3.34
Eritrea,2021,3.62
Eritrea,2022,3.68
Estonia,2010,1.33
Estonia,2015,1.31
Estonia,2021,1.33
Estonia,2022,1.33
Eswatini,2010,1.10
Eswatini,2015,1.13
Eswatini,2021,1.19
Eswatini,2022,1.20
Ethiopia,2010,89.24
Ethiopia,2015,102.47
Ethiopia,2021,120.28
Ethiopia,2022,123.38
Falkland Islands (Malvinas),2010,0.00
Falkland Islands (Malvinas),2015,0.00
Falkland Islands (Malvinas),2021,0.00
Falkland Islands (Malvinas),2022,0.00
Faroe Islands,2010,0.05
Faroe Islands,2015,0.05
Faroe Islands,2021,0.05
Faroe Islands,2022,0.05
Fiji,2010,0.91
Fiji,2015,0.92
Fiji,2021,0.92
Fiji,2022,0.93
Finland,2010,5.36
Finland,2015,5.48
Finland,2021,5.54
Finland,2022,5.54
France,2010,62.44
France,2015,63.81
France,2021,64.53
France,2022,64.63
French Guiana,2010,0.23
French Guiana,2015,0.26
French Guiana,2021,0.30
French Guiana,2022,0.30
French Polynesia,2010,0.28
French Polynesia,2015,0.29
French Polynesia,2021,0.30
French Polynesia,2022,0.31
Gabon,2010,1.71
Gabon,2015,2.03
Gabon,2021,2.34
Gabon,2022,2.39
Gambia,2010,1.94
Gambia,2015,2.25
Gambia,2021,2.64
Gambia,2022,2.71
Georgia,2010,3.84
Georgia,2015,3.77
Georgia,2021,3.76
Georgia,2022,3.74
Germany,2010,81.33
Germany,2015,82.07
Germany,2021,83.41
Germany,2022,83.37
Ghana,2010,25.57
Ghana,2015,28.87
Ghana,2021,32.83
Ghana,2022,33.48
Gibraltar,2010,0.03
Gibraltar,2015,0.03
Gibraltar,2021,0.03
Gibraltar,2022,0.03
Greece,2010,11.03
Greece,2015,10.81
Greece,2021,10.45
Greece,2022,10.39
Greenland,2010,0.06
Greenland,2015,0.06
Greenland,2021,0.06
Greenland,2022,0.06
Grenada,2010,0.11
Grenada,2015,0.12
Grenada,2021,0.12
Grenada,2022,0.13
Guadeloupe,2010,0.40
Guadeloupe,2015,0.40
Guadeloupe,2021,0.40
Guadeloupe,2022,0.40
Guam,2010,0.16
Guam,2015,0.17
Guam,2021,0.17
Guam,2022,0.17
Guatemala,2010,14.54
Guatemala,2015,16.00
Guatemala,2021,17.61
Guatemala,2022,17.84
Guinea,2010,10.27
Guinea,2015,11.63
Guinea,2021,13.53
Guinea,2022,13.86
Guinea-Bissau,2010,1.57
Guinea-Bissau,2015,1.79
Guinea-Bissau,2021,2.06
Guinea-Bissau,2022,2.11
Guyana,2010,0.75
Guyana,2015,0.76
Guyana,2021,0.80
Guyana,2022,0.81
Haiti,2010,9.84
Haiti,2015,10.56
Haiti,2021,11.45
Haiti,2022,11.59
Honduras,2010,8.45
Honduras,2015,9.29
Honduras,2021,10.28
Honduras,2022,10.43
Hungary,2010,9.99
Hungary,2015,9.84
Hungary,2021,9.71
Hungary,2022,9.97
Iceland,2010,0.32
Iceland,2015,0.33
Iceland,2021,0.37
Iceland,2022,0.37
India,2010,1240.61
India,2015,1322.87
India,2021,1407.56
India,2022,1417.17
Indonesia,2010,244.02
Indonesia,2015,259.09
Indonesia,2021,273.75
Indonesia,2022,275.50
Iran (Islamic Republic of),2010,75.37
Iran (Islamic Republic of),2015,81.79
Iran (Islamic Republic of),2021,87.92
Iran (Islamic Republic of),2022,88.55
Iraq,2010,31.26
Iraq,2015,37.76
Iraq,2021,43.53
Iraq,2022,44.50
Ireland,2010,4.52
Ireland,2015,4.67
Ireland,2021,4.99
Ireland,2022,5.02
Isle of Man,2010,0.08
Isle of Man,2015,0.08
Isle of Man,2021,0.08
Isle of Man,2022,0.08
Israel,2010,7.33
Israel,2015,8.01
Israel,2021,8.90
Israel,2022,9.04
Italy,2010,59.82
Italy,2015,60.23
Italy,2021,59.24
Italy,2022,59.04
Jamaica,2010,2.73
Jamaica,2015,2.79
Jamaica,2021,2.83
Jamaica,2022,2.83
Japan,2010,128.11
