Country,Year,Value
Africa,2005,6.6
Africa,2010,6.5
Africa,2015,6.7
Africa,2023,7.1
Northern Africa,2005,12.7
Northern Africa,2010,10.5
Northern Africa,2015,13.1
Northern Africa,2023,11.3
Sub-Saharan Africa,2005,5.3
Sub-Saharan Africa,2010,5.7
Sub-Saharan Africa,2015,5.5
Sub-Saharan Africa,2023,6.4
Eastern Africa,2005,4.1
Eastern Africa,2010,4.2
Eastern Africa,2015,3.7
Eastern Africa,2023,4.8
Middle Africa,2005,4.0
Middle Africa,2010,5.7
Middle Africa,2015,5.9
Middle Africa,2023,6.4
Southern Africa,2005,19.8
Southern Africa,2010,22.8
Southern Africa,2015,22.5
Southern Africa,2023,28.8
Western Africa,2005,4.1
Western Africa,2010,4.0
Western Africa,2015,4.0
Western Africa,2023,4.6
Americas,2005,7.1
Americas,2010,8.0
Americas,2015,6.2
Americas,2023,6.1
Northern America,2005,5.3
Northern America,2010,9.5
Northern America,2015,5.5
Northern America,2023,4.7
Latin America & the Caribbean,2005,8.3
Latin America & the Caribbean,2010,7.1
Latin America & the Caribbean,2015,6.7
Latin America & the Caribbean,2023,7.0
Caribbean,2005,7.6
Caribbean,2010,8.1
Caribbean,2015,8.0
Caribbean,2023,7.8
Central America,2005,4.0
Central America,2010,5.3
Central America,2015,4.4
Central America,2023,4.1
South America,2005,9.8
South America,2010,7.6
South America,2015,7.4
South America,2023,8.0
Central Asia,2005,7.5
Central Asia,2010,5.6
Central Asia,2015,5.0
Central Asia,2023,5.9
Eastern Asia,2005,4.5
Eastern Asia,2010,4.5
Eastern Asia,2015,4.5
Eastern Asia,2023,4.4
South-eastern Asia,2005,4.5
South-eastern Asia,2010,3.3
South-eastern Asia,2015,2.9
South-eastern Asia,2023,2.5
Southern Asia,2005,7.7
Southern Asia,2010,7.3
Southern Asia,2015,7.3
Southern Asia,2023,7.2
Western Asia,2005,8.0
Western Asia,2010,7.2
Western Asia,2015,7.7
Western Asia,2023,9.4
Caucasus,2005,10.4
Caucasus,2010,10.3
Caucasus,2015,9.7
Caucasus,2023,8.9
Eastern Europe,2005,8.8
Eastern Europe,2010,8.0
Eastern Europe,2015,6.6
Eastern Europe,2023,5.1
Northern Europe,2005,5.4
Northern Europe,2010,8.6
Northern Europe,2015,6.1
Northern Europe,2023,4.6
Southern Europe,2005,10.3
Southern Europe,2010,14.2
Southern Europe,2015,17.2
Southern Europe,2023,10.7
Western Europe,2005,9.1
Western Europe,2010,7.2
Western Europe,2015,6.9
Western Europe,2023,4.9
Oceania,2005,4.5
Oceania,2010,5.0
Oceania,2015,5.4
Oceania,2023,3.4
Afghanistan,2005,8.1
Afghanistan,2010,8.1
Afghanistan,2015,9.0
Afghanistan,2020,11.7
Albania,2005,16.0
Albania,2010,14.1
Albania,2015,17.2
Albania,2023,12.5
Algeria,2005,15.3
Algeria,2010,10.0
Algeria,2015,11.2
Algeria,2023,11.6
American Samoa,2000,5.1
American Samoa,2010,9.2
Angola,2005,3.9
Angola,2010,9.4
Angola,2015,9.6
Angola,2023,10.1
Argentina,2005,11.5
Argentina,2010,7.7
Argentina,2015,7.5
Argentina,2023,6.6
Armenia,2005,10.2
Armenia,2010,10.5
Armenia,2015,12.2
Armenia,2023,13.0
Aruba,2001,6.9
Aruba,2010,10.6
Australia,2005,5.0
Australia,2010,5.2
Australia,2015,6.1
Australia,2023,3.5
Austria,2005,5.6
Austria,2010,4.8
Austria,2015,5.7
Austria,2023,4.8
Azerbaijan,2005,7.3
Azerbaijan,2010,5.6
Azerbaijan,2015,5.0
Azerbaijan,2023,5.4
Bahamas,2005,10.2
Bahamas,2010,14.3
Bahamas,2015,12.0
Bahamas,2023,9.6
Bahrain,2005,1.1
Bahrain,2010,1.1
Bahrain,2015,1.2
Bahrain,2023,1.4
Bangladesh,2005,4.3
Bangladesh,2010,3.4
Bangladesh,2015,4.4
Bangladesh,2023,4.7
Barbados,2005,9.1
Barbados,2010,10.7
Barbados,2015,9.8
Barbados,2023,7.6
Belarus,2005,9.0
Belarus,2010,6.3
Belarus,2015,5.8
Belarus,2023,4.4
Belgium,2005,8.4
Belgium,2010,8.3
Belgium,2015,8.5
Belgium,2023,5.9
Belize,2005,10.9
Belize,2010,8.2
Belize,2015,7.6
Belize,2023,10.2
Benin,2005,0.8
Benin,2010,1.0
Benin,2015,2.0
Benin,2023,1.6
Bermuda,2000,2.7
Bermuda,2009,4.5
Bermuda,2012,8.4
Bermuda,2013,6.7
Bhutan,2005,3.1
Bhutan,2010,3.3
Bhutan,2015,2.5
Bhutan,2023,3.5
Bolivia (Plurin. State of),2005,2.5
Bolivia (Plurin. State of),2010,2.6
Bolivia (Plurin. State of),2015,3.1
Bolivia (Plurin. State of),2023,4.6
Bosnia and Herzegovina,2005,30.1
Bosnia and Herzegovina,2010,27.3
Bosnia and Herzegovina,2015,27.7
Bosnia and Herzegovina,2023,14.6
Botswana,2005,19.8
Botswana,2010,17.9
Botswana,2015,19.3
Botswana,2023,20.8
Brazil,2005,10.6
Brazil,2010,8.0
Brazil,2015,8.6
Brazil,2023,9.1
Brunei Darussalam,2005,6.0
Brunei Darussalam,2010,6.6
Brunei Darussalam,2015,7.7
Brunei Darussalam,2023,7.0
Bulgaria,2005,10.1
Bulgaria,2010,10.3
Bulgaria,2015,9.1
Bulgaria,2023,4.2
Burkina Faso,2005,4.0
Burkina Faso,2010,3.6
Burkina Faso,2015,4.3
Burkina Faso,2023,5.2
Burundi,2005,3.2
Burundi,2010,1.6
Burundi,2015,1.5
Burundi,2023,1.0
Cabo Verde,2005,10.9
Cabo Verde,2010,10.7
Cabo Verde,2015,11.8
Cabo Verde,2023,13.5
Cambodia,2005,1.1
Cambodia,2010,0.8
Cambodia,2015,0.4
Cambodia,2023,0.3
Cameroon,2005,4.4
Cameroon,2010,4.1
Cameroon,2015,3.5
Cameroon,2023,4.0
Canada,2005,6.8
Canada,2010,8.1
Canada,2015,6.9
Canada,2023,5.6
Cayman Islands,2005,3.5
Cayman Islands,2009,6.0
Cayman Islands,2010,6.7
Cayman Islands,2013,6.3
Central African Republic,2005,5.3
Central African Republic,2010,5.5
Central African Republic,2015,5.7
Central African Republic,2023,6.3
Chad,2005,0.9
Chad,2010,1.0
Chad,2015,1.1
Chad,2023,1.3
Channel Islands,2005,6.3
Channel Islands,2010,7.6
Channel Islands,2015,8.6
Channel Islands,2023,7.4
Chile,2005,9.3
Chile,2010,8.4
Chile,2015,6.5
Chile,2023,8.5
China,2005,4.5
China,2010,4.5
China,2015,4.7
China,2023,4.6
"China, Hong Kong SAR",2005,5.6
"China, Hong Kong SAR",2010,4.3
"China, Hong Kong SAR",2015,3.3
"China, Hong Kong SAR",2023,4.8
"China, Macao SAR",2005,4.2
"China, Macao SAR",2010,2.8
"China, Macao SAR",2015,1.8
"China, Macao SAR",2023,1.9
Colombia,2005,11.9
Colombia,2010,11.0
Colombia,2015,8.3
Colombia,2023,10.6
Comoros,2005,4.9
Comoros,2010,6.7
Comoros,2015,8.1
